id,observed_at,provider,endpoint,status,message,request_url
1,2026-05-08T20:17:42+00:00,dexscreener,candidate_discovery,empty,no base token profiles/boosts found,
2,2026-05-08T22:12:15+00:00,dexscreener,candidate_discovery,empty,no base token profiles/boosts found,
3,2026-05-09T03:58:19+00:00,dexscreener,candidate_discovery,empty,no base token profiles/boosts found,
4,2026-05-09T08:53:37+00:00,dexscreener,candidate_discovery,empty,no base token profiles/boosts found,
5,2026-05-09T10:40:00+00:00,dexscreener,candidate_discovery,empty,no base token profiles/boosts found,
6,2026-05-09T12:02:39+00:00,dexscreener,candidate_discovery,empty,no base token profiles/boosts found,
7,2026-05-09T13:54:47+00:00,dexscreener,candidate_discovery,empty,no base token profiles/boosts found,
8,2026-05-09T15:24:38+00:00,wallet_module,status,disabled,Wallet module inactive: missing MORALIS_API_KEY.,
9,2026-05-09T16:11:19+00:00,wallet_module,status,disabled,Wallet module inactive: missing MORALIS_API_KEY.,
10,2026-05-09T17:14:39+00:00,wallet_module,status,disabled,Wallet module inactive: missing MORALIS_API_KEY.,
11,2026-05-09T18:07:29+00:00,wallet_module,status,disabled,Wallet module inactive: missing MORALIS_API_KEY.,
12,2026-05-09T19:35:44+00:00,wallet_module,status,disabled,Wallet module inactive: missing MORALIS_API_KEY.,
13,2026-05-09T21:04:33+00:00,dexscreener,candidate_discovery,empty,no base token profiles/boosts found,
14,2026-05-09T21:04:36+00:00,wallet_module,status,disabled,Wallet module inactive: missing MORALIS_API_KEY.,
15,2026-05-09T22:03:27+00:00,dexscreener,candidate_discovery,empty,no base token profiles/boosts found,
16,2026-05-09T22:03:30+00:00,wallet_module,status,disabled,Wallet module inactive: missing MORALIS_API_KEY.,
17,2026-05-09T23:07:08+00:00,dexscreener,candidate_discovery,empty,no base token profiles/boosts found,
18,2026-05-09T23:07:10+00:00,wallet_module,status,disabled,Wallet module inactive: missing MORALIS_API_KEY.,
